Timestamp (seconds),Distance (mm),Button Pressed
1739139247.192,0,False
1739139247.494,0,False
1739139247.796,0,False
1739139248.098,0,False
1739139248.401,0,False
1739139248.703,0,False
1739139249.005,0,False
1739139249.307,0,False
1739139249.609,0,False
1739139249.911,0,False
1739139250.213,0,False
1739139250.515,0,False
1739139250.817,0,False
1739139251.120,0,False
1739139251.422,0,False
1739139251.724,0,False
1739139252.026,0,False
1739139252.328,0,False
1739139252.630,0,False
1739139252.932,0,False
1739139253.234,0,False
1739139253.536,0,False
1739139253.838,0,False
1739139254.141,0,False
1739139254.443,0,False
1739139254.745,0,False
1739139255.047,0,False
1739139255.349,0,False
1739139255.651,0,False
1739139255.953,0,False
1739139256.255,0,False
1739139256.558,0,False
1739139256.860,0,False
1739139257.162,0,False
1739139257.464,0,False
1739139257.766,0,False
1739139258.068,0,False
1739139258.370,0,False
1739139258.672,0,False
1739139258.974,0,False
1739139259.276,0,False
1739139259.579,0,False
